탁구초급,박철욱,23,Fall,5.0,"초심자도 부담없이 즐길 수 있는 교양 과목입니다.
중간 평가는 포핸드, 백핸드 각 10번 테스트
기말 평가는 리그전입니다."
탁구초급,박철욱,22,Fall,5.0,"초보라서 s/u로 들었습니다
수업은 자세나 기술 가끔 알려주시고 대부분 조를 짜서 함께 연습하고 경기하는 형식으로 이루어집니다
로드도 없고 교수님 친절하셔서 탁구 좋아하시거나 배우고 싶은 분이라면 추천해요!!"
탁구초급,박철욱,23,Spring,5.0,"이 수업 진짜 재밌어요. 보고서는 한개 써야하는데, 엄청 짧아요. 교수님도 착하시고, 추천합니다"
탁구초급,박철욱,23,Spring,5.0,역시 체육교양은 탁구초급이 쵝오 s/u로 돌렸는데 괜히 돌린 것 같기도 함 성적 매우 잘 주심!
탁구초급,박철욱,22,Fall,5.0,"기말 단식경기 11패 했는데 에이쁠
로드는 거의 없는 수준"
탁구초급,박철욱,22,Fall,5.0,저는 지레 겁먹고 s/u 신청하긴 했는데 다른 후기들 보니까 그냥 다른 평가방식 선택했으면 에이쁠 받을 수 있었을듯 하네요.. 강사님께서 약간 초보자 맞춤으로 라켓 잡는법부터 차근차근 알려주십니다. 저도 초보자라 그냥 부담없이 재미있게 수업 들을 수 있었어요. 그리고 따로 같이 듣는 사람이 없어도 그냥 랜덤으로 자기 짝을 정해주시기 때문에 새로운 사람들 여럿 만날 기회도 있었네요.
탁구초급,박철욱,22,Fall,5.0,"탁구를 오래 쳐본 경험이 있는 고인물의 입장에서, 초급부터 중급까지 많은 사람들과 탁구를 오래 쳐보고 싶은 마음에 신청한 수업이었습니다. 교수님의 수업 진행 방식이 좀 더 유동적이면 그 안에서 더 다양한 것들을 할 수 있었을 것 같은데, 수업마다 너무 한정된 활동을 동일하게 반복하는 느낌이 있어서 아쉬웠습니다. 하지만 초보자 분들이 기본기를 탄탄하게 쌓는 데에는 최적의 지도를 하셨다는 생각이 들고, 초급 교양 수준에서 최적의 강의라는 생각이 들어서 추천합니다!!"
탁구초급,박철욱,22,Fall,5.0,"학점 정말 잘주십니다. 초보자인데 에이쁠 받았습니다. 
마지막 3주간 다른 수강생분들과 경기를 하고 그게 기말고사로 들어가는데 저는 이 방식이 아쉽긴 했습니다. 개인적으로는 더 배우고 연습할 수 있었으면 했어요"
탁구초급,박철욱,22,Fall,5.0,출석은 직접 호명하시고 과제는 중간대체 과제 한개인데 30분컷 가능. 시험은 중간에 포핸드 백핸드 랠리하는거 기말은 리그전으로 진행됩니다. 차근차근 기초부터 알려주셔서 초보자도 잘 할 수 있으나 고인물도 꽤 많습니다. 새로운 사람들과 친해지기 좋은 강의는 아닙니다.
탁구초급,박철욱,22,Fall,5.0,"탁구 초보였는데 에플 떴어요 꿀강
로드는 없구 중간에 무슨 반페이지쯤 쓰면 되는 보고서 써야하는데, 30분도 안 걸립니다~"
탁구초급,박철욱,22,Fall,5.0,"재밌고 교수님 친절하심
사람 만나기에 좋은 강의인지는 딱히 모르겠음
고인물 많으니까 초급자고 잘 못하면 에쎈유 전환하고 맘편하게 듣는 걸 추천
평가 방식은 작년 후기랑 같았음"
탁구초급,박철욱,22,Fall,5.0,"탁구 전혀 칠 줄 몰랐는데 잘 배우고 갑니다.
탁구 군대에서든 학창시절이든 어디선가 배워오신 수강생분들 꽤 계심.
그러나 그분들 때문에 성적에 크게 손해갈 정도는 아님(어차피 1학점이기도 하고...).
널널한 강의. 수강 추천합니다."
탁구초급,박철욱,22,Fall,5.0,재밌는데 탁구 고인물이 꽤나 있어서 에쎈유가 좋음 교수님 친절하심
탁구초급,박철욱,22,Spring,5.0,부담없이 들을 수 있는 탁구 수업. 다만 수강생 대부분이 초급자는 아닌 듯했음.
탁구초급,박철욱,21,Fall,5.0,초급자도 잘 배울 수 있도록 하십니다! 그런데 학생들마다 실력 차이가 너무 커서 초급자분들은 어려움이 있을 수 있습니다.. 중간고사는 포핸드와 백핸드 각각 10번 넘기면 되는거라 노력으로 가능한데 기말고사는 3주에 걸쳐 경기 진행하는 것에 대한 승률로 점수를 매겨요.. 초급자분들도 실력이 늘지만 잘하시는 분들도 똑같이 늘으셔서 따라잡기는 힘듭니다ㅠㅠ 탁구 초급자분들은 S/U로 듣는걸 추천합니다~
탁구초급,박철욱,21,Fall,5.0,"기초부터 차근차근 알려주십니다. 매주 즐겁게 칠 수 있고, 마지막엔 경기도 하면서 실력이 많이 늘었습니다. 추천합니다!"
탁구초급,박철욱,21,Spring,5.0,교수님께서 탁구 기본부터 차례대로 알려주셔서 초급자가 듣기에 좋은 강의인 것 같습니다. 함께 수강하는 분들과도 친목 도모하기 좋은 수업인 것 같습니다!!
탁구초급,박철욱,21,Spring,4.0,"교수님도 너무 착하시고 학생 배려 잘해주세요!!
에쁠 나올줄 알았는데 에제 나온건 살짝 미스지만 그래도 추천
2021년 1학기 들으신 학우분들 고생하셨어요 다들 착하시고 짱짱"
탁구초급,홍차옥,22,Fall,5.0,교수님이 대단하신 분이고 너무 좋으십니다..탁구 못치는데도 교수님이 넘 좋으셔서 마지막까지 잘 수강했습니다
탁구초급,홍차옥,22,Fall,5.0,체육수업이라서 과제에 찌든 학교생활중에 운동하는 느낌으로 가볍게 듣기 너무 좋은 수업입니다. 또한 선생님도 국가대표 출신이셔서 자세 같은것도 잘 알려주시고 너무 좋으십니다! 과제는 탁구에 관한 설명 기말레포트 2장 쓰는게 끝입니다 모두들 힐링 운동하면서 1학점 챙겨가세요
탁구초급,홍차옥,22,Fall,5.0,"그저 갓...
학점 잘 주시고 일단 편하게 즐길 수 있는 수업이라 좋음. 탁구 좀 칠 수 있으면 최고의 꿀강이자 명강"
탁구초급,홍차옥,22,Spring,5.0,"정말 재밌고, 성적도 잘 주시고, 이번학기 제일 만족스러운 수업
체육교양중에서도 체력부담 없이 좋은듯"
탁구초급,홍차옥,20,Fall,5.0,교수님 친절하시고 조원들과 재밌게 칠수 있어요
탁구초급,홍차옥,21,Fall,5.0,"레포트 한번 시험두번이 끝입니다
교수님 좋아요"
탁구초급,홍차옥,21,Fall,5.0,솔직히 에이쁠 받을 실력은 아니라고 생각했는데... 교수님 감사합니다... 수업마다 4인 1조로 탁구칩니다 조 잘 만나는 것도 은근 중요한듯
